ID,Артикул,Производитель,Название,Ед. Изм.,Кол-во,Кол. Вн. склады,Цена
11155,UNL20-006-6-5,IEK,"Наконечник изолированный НКИ5,5-5 кольцо 4-6мм (100шт) IEK",упак,31,1808.0,446.24
11151,UGN10-001-D14-08,IEK,Наконечник-гильза Е1008 1мм2 с изолированным фланцем (желтый) (100шт) IEK,упак,10,18425.0,62.3
11153,UGN10-D25-04-08,IEK,"Наконечник-гильза Е2508 2,5мм2 с изолированным фланцем (синий) (100шт) IEK",упак,3,7950.0,107.01
10562,SVA10-3-0016,IEK,Выключатель автоматический ВА88-32 3Р 16А 25кА ИЭК,шт,3,2006.0,3354.5
54213,MVA41-3-010-C,IEK,Выключатель автоматический ВА47-60 3Р 10А 6кА С IEK,шт,58,,443.55
10716,MVA20-1-001-B,IEK,"Выключатель автоматический ВА47-29 1Р 1А 4,5кА В IEK",шт,2,992.0,224.8
26165,MVA20-1-003-B,IEK,"Выключатель автоматический ВА47-29 1Р 3А 4,5кА В IEK",шт,1,1205.0,224.8
38897,MVA20-3-008-D,IEK,"Выключатель автоматический ВА47-29 3Р 8А 4,5кА D IEK",шт,1,127.0,796.36
28539,ITT60-2-15-2000,IEK,"Трансформатор тока ТТИ-100 2000/5А 15ВА класс 0,5 IEK",шт,1,26.0,2022.63
45207,MAD10-4-010-C-030,IEK,Дифференциальный автоматический выключатель АД14 4Р 10А 30мА IEK,шт,3,680.0,1442.68
54217,MAD10-2-032-C-100,IEK,Дифференциальный автоматический выключатель АД12 2Р 32А 100мА IEK,шт,2,3792.0,1148.51
63280,MAD32-5-010-B-30,IEK,Автоматический выключатель дифференциального тока АВДТ32М В10 30мА IEK,шт,7,,1972.76
61317,MKM22-N-12-54-Z,IEK,Корпус металлический учетно-распределительный ЩУРн-1/12з-0 У2 IP54 IEK,шт,1,392.0,3546.24
61952,MKM35-V-48-31-ZO,IEK,Корпус металлический учетно-распределительный ЩУРв-3/48зо-1 36 УХЛ3 IP31 IEK,шт,1,315.0,5541.37
45802,EVO10-K33-10-DC,IEK,Выключатель 1-клавишный для открытой установки ВС20-1-0-ОКм 10А ОКТАВА кремовый IEK,шт,2,2777.0,61.74
44299,EBGMP20-K03-31-54-EC,IEK,Блок горизонтальный для открытой установки БГб-22-31-ГПБд (Выключатель 1-клавишный + розетка 1-местн,шт,9,723.0,427.44
44723,USWB-D24-10,IEK,Спираль монтажная СМ-24-20 (10м/упак) IEK,упак,4,626.0,987.08
44471,UEN30-D44-05-08,IEK,"Наконечник НК 0,5-0,8 кольцо 4,4мм (100шт) IEK",упак,9,,121.38
44475,UEN30-D104-10-15,IEK,"Наконечник НК 1,0-1,5 кольцо 10,4мм (100шт) IEK",упак,7,,209.63
58195,CTA10D-CF25-K41-100,IEK,Держатель с защёлкой CF25 IEK,шт,38,1067659.0,3.43
425,CMAT10-10-100,IEK,Скоба металлическая однолапковая d10-11мм IEK,шт,900,76903.0,3.23
43492,CKK-40D-RU2-K01,IEK,Рамка и суппорт универсальные на 2 модуля белые IEK,шт,9,38466.0,84.14
37352,MVA40-1-032-D,IEK,Выключатель автоматический ВА47-100 1Р 32А 10кА D IEK,шт,12,,730.93
37354,MVA20-2-025-D,IEK,"Выключатель автоматический ВА47-29 2Р 25А 4,5кА D IEK",шт,5,1.0,485.78
133118,LDVO3-6568-36-6500-K01,IEK,Панель светодиодная ДВО 6568-O 1200х180х20мм 36Вт 6500К опал IEK,шт,2,8241.0,976.71
54133,EVK11-K33-10-DM,IEK,Выключатель 1-клавишный с индикацией ВС10-1-1-ККм 10А КВАРТА кремовый IEK,шт,5,182.0,100.62
43493,CKK-40D-RSZB2-K01-K,IEK,Розетка РКС-20-30-П-К с заземляющим контактом 2к (на 2 модуля) ПРАЙМЕР белая IEK,шт,1,22462.0,266.52
54260,ERK11-K01-16-DM,IEK,Розетка 1-местная РСш10-3-КБ с заземляющим контактом с защитной шторкой 16А КВАРТА белый IEK,шт,3,50868.0,94.75
62459,CTG20-20-K02-100-1,IEK,Труба гофрированная ПНД d=20мм с зондом черная (100м) IEK,м,200,518116.0,19.72
28293,SVA30D-PRP-1-1,IEK,Привод ручной ПРП-1 250A для ВА88-35 IEK,шт,1,81.0,2305.16
39840,BLS10-ADDS-024-K07,IEK,Лампа AD22DS(LED)матрица d=22мм синий 24В AC/DC IEK,шт,8,2719.0,102.93
41706,MVA40-2-025-C,IEK,Выключатель автоматический ВА47-100 2Р 25А 10кА С IEK,шт,4,145.0,1462.66
